"","Gene","p.value","Adjusted.p.value"
"76","hsa-mir-548h-1:hsa-miR-548h-5p",0.442173084127388,0.995148224725225
"77","hsa-mir-424:hsa-miR-424-5p",0.536141250265142,0.995148224725225
"78","hsa-mir-223:hsa-miR-223-3p",0.877912493254396,0.995148224725225
"79","hsa-let-7a-3:hsa-let-7a-3p",0.335653352524599,0.995148224725225
"80","hsa-mir-16-2:hsa-miR-16-5p",0.686776078552385,0.995148224725225
"81","hsa-mir-5690:hsa-miR-5690",0.000516968928018528,0.24607720973682
"82","hsa-mir-548am:hsa-miR-548au-5p",0.546303591805282,0.995148224725225
"83","hsa-mir-4286:hsa-miR-4286",0.735599549694646,0.995148224725225
"84","hsa-mir-1976:hsa-miR-1976",0.675955215980053,0.995148224725225
"85","hsa-mir-4326:hsa-miR-4326",0.0270758363310122,0.995148224725225
"86","hsa-mir-199b:hsa-miR-199b-3p",0.088040636642007,0.995148224725225
"87","hsa-mir-548ah:hsa-miR-548ah-3p",0.139521306233209,0.995148224725225
"88","hsa-mir-223:hsa-miR-223-5p",0.52536600037121,0.995148224725225
"89","hsa-mir-3200:hsa-miR-3200-3p",0.0783216559143097,0.995148224725225
"90","hsa-mir-3620:hsa-miR-3620",0.305586300959743,0.995148224725225
"91","hsa-mir-192:hsa-miR-192-5p",0.18154592439532,0.995148224725225
"92","hsa-mir-424:hsa-miR-424-3p",0.0332361870187586,0.995148224725225
"93","hsa-mir-644b:hsa-miR-644b-3p",0.00954940699672759,0.995148224725225
"94","hsa-mir-339:hsa-miR-339-5p",0.381749670746455,0.995148224725225
"95","hsa-mir-548h-5:hsa-miR-548h-5p",0.436023506529453,0.995148224725225
"96","hsa-mir-548aa-2:hsa-miR-548aa",0.632342292749018,0.995148224725225
"97","hsa-mir-939:hsa-miR-939",0.427596726304588,0.995148224725225
"98","hsa-mir-196b:hsa-miR-196b-5p",0.40458892066648,0.995148224725225
"99","hsa-mir-18a:hsa-miR-18a-5p",0.745599412924607,0.995148224725225
"100","hsa-mir-93:hsa-miR-93-5p",0.576021211527571,0.995148224725225
"101","hsa-mir-548g:hsa-miR-548x-5p",0.419563229566609,0.995148224725225
"102","hsa-mir-548g:hsa-miR-548g-5p",0.419563229566609,0.995148224725225
"103","hsa-mir-21:hsa-miR-21-5p",0.888147396462889,0.995148224725225
"104","hsa-mir-652:hsa-miR-652-3p",0.624121656599133,0.995148224725225
"105","hsa-mir-99b:hsa-miR-99b-5p",0.348306078723416,0.995148224725225
"106","hsa-mir-25:hsa-miR-25-3p",0.0200396678100299,0.995148224725225
"107","hsa-mir-937:hsa-miR-937",0.00288741807399749,0.995148224725225
"108","hsa-mir-625:hsa-miR-625-3p",0.488801639301848,0.995148224725225
"109","hsa-mir-1180:hsa-miR-1180",0.0275876661341676,0.995148224725225
"110","hsa-mir-30c-1:hsa-miR-30c-5p",0.000176138849503949,0.0852512031599113
"111","hsa-mir-548o:hsa-miR-548o-3p",0.126095727516037,0.995148224725225
"112","hsa-let-7a-1:hsa-let-7a-5p",0.254231529634462,0.995148224725225
"113","hsa-mir-941-1:hsa-miR-941",0.711025058483225,0.995148224725225
"114","hsa-mir-660:hsa-miR-660-5p",0.219867323822328,0.995148224725225
"115","hsa-mir-548o-2:hsa-miR-548c-5p",0.561487022214639,0.995148224725225
"116","hsa-mir-3656:hsa-miR-3656",0.591488251993717,0.995148224725225
"117","hsa-mir-421:hsa-miR-421",0.00659726531386887,0.995148224725225
