"","Genes","FC.Value","log2.of.FC"
"1","1555078_at",1.21719696097474,0.283562636934135
"2","1558620_at",8.1704158474088,3.03040950869246
"3","206094_x_at",1.14179075893148,0.191298291059606
"4","206097_at",1.21672957017762,0.283008550863891
"5","207488_at",2.14213746774867,1.0990510653709
"6","207491_at",1.26491400779113,0.33903931001826
"7","210617_at",1.69730487833525,0.763245732208959
"8","211407_at",1.27741077833738,0.353222528622497
"9","211619_s_at",1.30762794550528,0.386952114590925
"10","212833_at",11.1746472352757,3.48215738357101
"11","214301_s_at",1.50558575854279,0.59032488667479
"12","222178_s_at",3.72276653069922,1.89637514195789
"13","224687_at",29.1240216994764,4.86413768412145
"14","229396_at",1.35301328277966,0.436176002585908
"15","231322_at",1.30899057653442,0.388454711312183
"16","231422_x_at",1.17695127652383,0.235054596865372
"17","234109_x_at",1.4882541943738,0.573620960345369
"18","234342_at",1.38152912206662,0.466265973890014
"19","234367_x_at",1.36440259662804,0.448269405694877
"20","236049_at",1.40626621582212,0.491869732312802
"21","237641_at",1.4946422933664,0.57980025142344
"22","240583_at",1.32015688111652,0.400709382735389
"23","242415_at",1.64390654480518,0.717128284920774
"24","243337_at",1.74295316570373,0.801533803821169
