"","Genes","FC.Value","log2.of.FC"
"1","1552596_at",0.871251156655927,-0.198839428611424
"2","1555238_at",0.807314052961178,-0.30879808989549
"3","1556809_a_at",0.681202631028082,-0.553844087698512
"4","1557595_at",0.907725724805066,-0.13967165115809
"5","1557771_at",0.832082476570796,-0.265201558537376
"6","1559028_at",0.887722037739946,-0.171820082219831
"7","1561542_at",0.89654434769603,-0.157553146909478
"8","1562577_at",0.831697042007129,-0.265869993912771
"9","1565660_at",0.862862666586242,-0.212797136875214
"10","1565795_at",0.820797072394448,-0.284902509714258
"11","1566908_at",0.836095321580272,-0.25826066438544
"12","1568691_at",0.799401082734361,-0.323008568095434
"13","1569478_s_at",0.312546156380184,-1.67785883418903
"14","1569793_at",0.888097053674059,-0.171210748038147
"15","1569909_at",0.835004063004183,-0.260144877346511
"16","201402_at",0.923288855038985,-0.115146022815227
"17","205075_at",0.749496301494774,-0.416006735898101
"18","206227_at",0.839300310357432,-0.252740980596095
"19","206657_s_at",0.851298504919071,-0.232262998164907
"20","206658_at",0.908453086051579,-0.138516081548853
"21","206718_at",0.68678904311358,-0.542061071813762
"22","206763_at",0.910946078384817,-0.134562435754833
"23","206783_at",0.856850539756838,-0.222884517569755
"24","207510_at",0.819235824227812,-0.287649290797298
"25","209640_at",0.745925274623189,-0.422896983616327
"26","210116_at",0.923787437075137,-0.114367168307079
"27","211295_x_at",0.898300023280146,-0.15473072363153
"28","211318_s_at",0.126762229914114,-2.97980315093074
"29","213985_s_at",0.846934088453029,-0.239678396831653
"30","214339_s_at",0.838353858786362,-0.254368778694173
"31","214580_x_at",0.697001174032792,-0.520767008707782
"32","214614_at",0.887320200965729,-0.172473281246503
"33","215189_at",0.780418049928072,-0.357680949128306
"34","216138_at",0.835462427895552,-0.259353145484908
"35","216340_s_at",0.636854101820578,-0.65096519444422
"36","216490_x_at",0.473183423039999,-1.0795285620315
"37","216495_x_at",0.81091146111484,-0.302383691645314
"38","216530_at",0.672208291253911,-0.573019757422748
"39","219422_at",0.887105822505823,-0.17282188156953
"40","219554_at",0.530038431216383,-0.915831126692283
"41","220003_at",0.826907488634874,-0.274202159871996
"42","220593_s_at",0.815146811187597,-0.294868177018744
"43","221379_at",0.920453182993229,-0.119583751238503
"44","221975_s_at",0.884199974087252,-0.177555402875628
"45","221982_x_at",0.871479689133444,-0.198461053861609
"46","222075_s_at",0.733828081115248,-0.446485982191663
"47","222089_s_at",0.720743809716288,-0.472441554051627
"48","222733_x_at",0.922514424397418,-0.116356625617928
"49","223541_at",0.876982070145005,-0.189380747744505
"50","223733_s_at",0.776971725810931,-0.364065995320713
"51","223759_s_at",0.874551908046933,-0.193384078654193
"52","224672_x_at",0.768528769829572,-0.379828826755894
"53","226928_x_at",0.807085717690372,-0.309206189761504
"54","227555_s_at",0.713447733226764,-0.487120352329348
"55","228016_s_at",0.741734550793896,-0.431025122019229
"56","228163_at",0.801172981820429,-0.319814325323016
"57","228252_at",0.790282851694611,-0.339558991341844
"58","229659_s_at",0.866950184628936,-0.205978997003747
"59","230832_at",0.330305915739057,-1.5981252865386
"60","230851_x_at",0.787025680129084,-0.345517384198519
"61","231360_at",0.793634292620216,-0.333453729540299
"62","231691_at",0.760251972527168,-0.395450440452766
"63","232189_at",0.863503106072,-0.211726727664012
"64","232532_at",0.583230767692663,-0.777861265437234
"65","233125_at",0.85057124495866,-0.233496011916122
"66","233854_x_at",0.74850275728823,-0.41792046408299
"67","234113_at",0.804886206662453,-0.313143262825549
"68","234769_at",0.906803576031618,-0.141138014447273
"69","234922_s_at",0.859573490088753,-0.218307105266441
"70","235358_at",0.832001859757085,-0.265341341690075
"71","236118_at",0.853301917899538,-0.228871804235934
"72","236730_at",0.704515121582996,-0.505297422279105
"73","236977_at",0.433777149356413,-1.20497403860027
"74","237494_at",0.80066720025513,-0.320725388222354
"75","238052_at",0.826482502945511,-0.274943817633467
"76","239226_at",0.57799792958122,-0.790863769961159
"77","239522_at",0.868523993916224,-0.203362389387742
