ID_REF,GSM300173,GSM300177,GSM300181,GSM300186,GSM300189,GSM300192,GSM300196,GSM300204,GSM300208,GSM300214,GSM300218,GSM300222,GSM300228,GSM300230,GSM300234,GSM300238,GSM300242,GSM300248,GSM300252,GSM300258,GSM300261,GSM300267,GSM300271,GSM300275,GSM300279,GSM300285,GSM300289,GSM300293,GSM300297,GSM300300,GSM300304,GSM300308,GSM300312,GSM300316,GSM300320,GSM300324,GSM300328,GSM300332,GSM300338,GSM1176196,GSM1176197,GSM1176198,GSM1176199,GSM1176200,GSM1176201,GSM1176202,GSM1176203,GSM1176204,GSM1176205,GSM1176206,GSM1176207,GSM1176208,GSM1176209,GSM1176210
1562577_at,0.9016696,0.8559531,0.84648556,0.92753166,0.8730656,0.891696,0.808124,0.8444126,0.8707643,0.83051956,1.0360712,0.96426225,0.87372404,0.86438537,0.8761985,0.9426923,1.1178553,0.8945583,0.8476028,0.9999934,0.85450184,0.8377531,1.0665921,0.9069548,0.9083239,0.79123974,1.0393977,0.87917656,0.95467573,0.85627556,0.9124431,0.9570184,0.9129588,0.9186563,0.9181372,0.79123926,0.8200953,0.8590246,0.8843301,0.7530905,0.7456035,0.7464466,0.71682245,0.72810084,0.7360639,0.7436377,0.6634791,0.9535754,0.7757137,0.7075323,0.7425169,0.76093954,0.6972927,0.76872575
1562906_at,0.9631086,0.90195066,0.8403874,1.0020032,0.9494078,0.9631086,0.9797742,0.95461214,0.9449437,0.8956809,0.9667469,0.99166745,0.9497658,0.9307988,0.9465485,0.9041634,0.98254883,0.9504823,0.91790336,1.0535324,0.91582924,0.89838684,0.97811306,0.9683888,0.9957889,0.8821073,1.0251235,0.93979126,1.027639,0.89449966,1.001815,0.91652036,0.97922015,1.0471958,1.0046517,0.90416366,0.9206769,0.9220663,0.9593035,1.0950565,1.0080762,1.087034,0.9903971,1.0537418,1.0391557,1.0938185,1.0929945,1.054735,1.1399244,1.0899072,1.1077223,1.1129555,1.0735283,1.1264652
1565660_at,1.0188862,0.98489136,1.0026891,1.5106479,1.0339798,1.0494945,1.0650413,1.0293114,1.0287299,1.0496922,1.007426,1.0781727,1.3490807,1.0339795,1.1634989,0.97252876,1.1467309,0.9529278,0.8662256,1.5206484,1.0002347,0.9752831,1.2923211,1.0674535,1.0650414,0.96413165,1.0964161,1.0173504,1.3972268,0.89410007,1.0616337,1.0040132,1.0455445,1.2806793,1.0826539,0.97970545,1.0015559,0.99459374,1.0337849,0.9345281,0.9357622,0.93241584,0.8641028,0.892682,0.97073287,0.91534764,0.91776735,0.8968989,0.94569397,0.88932216,0.9653279,0.93929696,1.0223837,0.95555073
1565795_at,1.0434735,0.9722506,0.9916879,1.1570418,1.0237926,1.0409191,1.0464284,1.0224421,1.013614,0.97023636,1.0426869,1.1320132,1.0699675,1.2099113,1.0205166,0.9582387,1.0685568,1.0203242,0.9883283,1.0936245,0.99524647,1.0470202,1.0573351,1.0424902,1.0633321,0.9503231,1.0915655,1.0151436,1.1199139,0.96059006,1.0736057,0.9995714,1.0278537,1.0750226,1.067953,0.9689566,0.9933723,0.9958097,1.0438668,0.8137301,0.83517814,0.8178822,0.89680356,0.80139863,0.9361599,0.83454853,0.82252187,0.80049235,0.8592949,0.81819093,0.8882845,0.838491,0.9540403,0.860592
1566908_at,0.77550507,0.7184975,0.72053206,0.8405148,0.7744825,0.75844395,0.7968465,0.77185845,0.7644731,0.7696791,0.8467176,0.8430542,0.81139946,0.7564445,0.92046994,0.6865832,0.80363554,0.76504964,0.888752,0.944731,0.7325856,0.72379965,0.78862685,0.77946264,0.8039386,0.67911696,0.8505576,0.7110853,1.0525012,0.633599,0.7862521,0.7439987,0.7840313,0.8345146,0.80804116,0.70961225,0.72325414,0.7628895,0.7853629,0.6495102,0.6502453,0.6598774,0.58912313,0.61391115,0.62601185,0.66776186,0.6644971,0.5820154,0.70038384,0.66549975,0.66751003,0.7629696,0.6366424,0.720608
1568691_at,1.1648301,1.3127187,1.0745338,1.2473357,1.1646107,1.1652696,1.4126062,1.2962412,1.1519458,1.1045206,1.2438136,1.2551198,1.4860914,1.319417,1.1543372,1.3156911,1.7267058,1.3284025,1.109111,1.2648591,1.1327789,1.0984986,1.1948568,1.2203541,1.3742548,1.3927734,1.2405354,1.162198,1.2727529,1.0849146,1.2175967,1.1359867,1.1606655,1.2412362,1.2210445,1.1145608,1.1257535,1.1151916,1.1863276,0.9900661,0.9245777,0.94733816,0.964355,1.0323826,1.0366349,0.94644606,0.96755475,0.9230099,1.0486634,0.96554965,0.9794835,0.98559624,1.0482712,0.9953058
1569478_s_at,2.865445,2.6855102,2.1657434,2.8708506,4.9372387,1.4005907,3.2746098,2.2383857,2.0942721,2.6764119,2.5993352,3.4762754,4.3341904,2.568646,3.28946,2.1788483,3.3736172,2.8353515,2.7140114,3.327505,2.6987047,2.6997235,3.2140596,3.4625394,3.485462,3.2801702,2.6723802,2.2939222,4.3760657,2.381169,2.203635,2.0793235,1.5243096,2.6303904,3.09338,3.0110984,2.316523,1.8650047,1.8650047,0.7462343,0.7241972,1.2696425,0.9386017,1.1189876,1.0284175,0.88355845,0.8870637,0.76072246,1.1359915,0.70334136,0.71524173,0.6892956,0.5832125,0.9255006
1569793_at,1.3792981,1.3012441,1.3250087,1.4551598,1.3733305,1.3850309,1.4188597,1.3735884,1.2450875,1.1477032,1.4890169,1.428253,1.4095283,1.3431164,1.3609589,1.2716563,1.4167215,1.3553259,1.32376,1.4997218,1.3297632,1.300263,1.4082004,1.3920987,1.4581808,1.2716565,1.5532448,1.340081,1.5986986,1.2791103,1.501703,1.3165427,1.4005221,1.4420512,1.3931489,1.2975689,1.3202713,1.3347868,1.3981483,1.2131567,1.2329859,1.2113276,1.1552224,1.0922259,1.2160001,1.2355452,1.2211885,1.184455,1.3464615,1.2181982,1.2425529,1.2397449,1.2436886,1.268829
1569909_at,1.397103,1.3250171,1.2313228,1.4834223,1.3601983,1.3764492,1.4074131,1.4271845,1.3431252,1.7006869,1.4339275,1.425572,1.4912732,1.24275,1.3428724,0.8328414,1.5219477,1.4750559,1.3232694,1.4806279,1.3153102,1.2805663,1.5978044,1.398948,1.4050274,1.3073992,1.4434212,1.3295205,1.4873427,1.2844343,1.7032548,1.3187866,1.3754116,1.4090056,1.4207428,1.276468,1.3272673,1.3217735,1.5538396,1.2072833,1.0548395,1.1103407,1.1751822,1.0822352,1.2391182,1.1166389,1.1166395,1.0797888,1.1725149,1.254382,1.2050087,1.1430498,1.2818017,1.1608576
1570408_at,0.6638582,0.47193366,0.71195257,0.8836495,0.7204589,1.0951009,0.75537044,0.733893,1.0041342,0.61297405,0.7492716,0.7654049,0.7996246,0.71855986,0.73486274,0.67216974,0.7585097,0.74252194,0.7120866,0.78854644,0.7088722,0.69366914,0.7573667,0.7472967,0.7763042,0.69957876,0.80219203,0.7398668,0.7873586,0.7002384,0.7733827,0.6562675,0.5802515,0.75879556,0.755228,0.6065364,0.6616094,0.7563679,0.73916996,0.8901903,0.94252104,0.9384425,0.88423604,0.9162414,1.1068864,0.95198554,0.9435882,0.88884854,0.986332,0.9421656,0.9368519,0.95126784,0.9479961,1.1992997
