"","Gene","p.value","Adjusted.p.value"
"1","1555078_at",9.87771255480845e-09,0.000539836746545392
"2","1558620_at",1.88049799059491e-24,1.02806825145824e-19
"3","1558875_at",1.36953063434e-07,0.00748284147990691
"4","1565795_at",4.10783124117927e-08,0.00224468330343
"5","1569478_s_at",2.02007010204329e-20,1.10431172268401e-15
"6","206094_x_at",4.91251979047627e-08,0.00268429906391204
"7","206097_at",5.44386276204703e-13,2.97566982436252e-08
"8","206718_at",1.19949065800126e-09,6.5558161913059e-05
"9","207488_at",5.18137647162782e-13,2.8322440069212e-08
"10","207491_at",5.16721735999774e-08,0.00282341923767637
"11","210617_at",1.64625899105313e-08,0.000899680538610534
"12","211318_s_at",7.48055769059904e-29,4.08984530618121e-24
"13","211407_at",5.14230648498675e-13,2.81093899388831e-08
"14","211619_s_at",1.48291058538339e-17,8.10647900605683e-13
"15","212833_at",1.79585166089354e-24,9.81810061527109e-20
"16","214301_s_at",7.44460343492968e-09,0.000406869911529212
"17","214580_x_at",1.16947769267625e-21,6.3934175980918e-17
"18","216530_at",2.41845581298556e-11,1.32190376281978e-06
"19","222178_s_at",1.2916197194058e-30,7.06180165387926e-26
"20","224556_s_at",1.53923682665871e-10,8.41300672346853e-06
"21","224687_at",1.90380623857849e-37,1.04090606094279e-32
"22","229396_at",4.23175644845487e-09,0.000231282416933852
"23","230832_at",8.73359959704405e-27,4.77483357169592e-22
"24","231055_at",7.43868391447562e-10,4.0656870802958e-05
"25","231322_at",1.10683018600038e-08,0.000604893764951068
"26","231422_x_at",1.81244287481419e-08,0.000990481906657208
"27","232532_at",4.67742005253484e-08,0.00255588263930661
"28","234109_x_at",1.16866927324363e-20,6.38888118296826e-16
"29","234342_at",1.02780215552839e-07,0.00561580819759159
"30","234367_x_at",2.14497896724513e-08,0.00117218810602012
"31","235396_at",9.05574105329144e-08,0.00494805691151844
"32","236049_at",3.68481518423119e-13,2.01426737230814e-08
"33","236977_at",6.30602373707451e-14,3.44718787587178e-09
"34","237641_at",2.73370073452231e-08,0.00149385810338706
"35","239226_at",3.51825794947055e-08,0.00192255205648818
"36","240583_at",2.52307719373891e-08,0.0013787859940625
"37","242415_at",2.55790172752109e-12,1.39814908426303e-07
"38","243337_at",3.41596972163783e-11,1.8671007304528e-06
