"","Genes","FC.Value","log2.of.FC"
"1","1558875_at",0.779804477315235,-0.358815656768969
"2","1565795_at",0.838708881507782,-0.253757961322896
"3","1569478_s_at",0.328767900721645,-1.60485864662914
"4","206718_at",0.685323380748456,-0.54514318752561
"5","211318_s_at",0.122795058608522,-3.02567558844976
"6","214580_x_at",0.64820800965993,-0.625471247287353
"7","216530_at",0.547741457968797,-0.868433014333932
"8","224556_s_at",0.612745821999258,-0.706639352762201
"9","230832_at",0.295070858783839,-1.76086664773317
"10","231055_at",0.583144128611594,-0.778075594077591
"11","232532_at",0.704860476945666,-0.504590382254344
"12","235396_at",0.686681023938373,-0.542287998825061
"13","236977_at",0.476949579236282,-1.06809133521966
"14","239226_at",0.636041018061352,-0.652808287482258
